Date,Time,ODO(km),Distance(km),Battery_Swap,Battery Code 
,,,11116,238,
08/01/2024,,,,,
15/01/2024,,,,,
15/01/2024,,,,,
16/01/2024,6:24 PM,81,81,1,
17/01/2024,1:08:00 PM,143,62,1,
,10:27:00 PM,199,56,1,
18/01/2024,4:57:00 PM,263,64,1,
19/01/2024,12:27:00 PM,333,70,1,
20/10/2024,5:56:00 PM,376,43,1,
21/01/2024,7:43:00 PM,464,88,1,
22/01/2024,3:55:00 PM,530,66,1,
23/01/2024,1:31:00 PM,590,60,1,
24/01/2024,1:29:00 PM,650,60,1,
,8:14:00 PM,684,34,1,
25/01/2024,3:38:00 PM,735,51,1,
26/01/2024,1:11:00 PM,803,68,1,
27/01/2024,4:57:00 PM,874,71,1,
28/01/2024,8:00:00 PM,951,77,1,
29/01/2024,,951,0,,
30/01/2024,3:24 PM,1013,62,1,
31/01/2024,,1013,0,,
01/02/2024,,1013,0,,
02/02/2024,12:09:00 PM,1042,29,1,
03/02/2024,5:58:00 PM,1160,118,1,
04/02/2024,7:28:00 PM,1226,66,1,
05/02/2024,,1226,0,,
06/02/2024,1:55:00 PM,1301,75,1,
07/02/2024,9:17:00 PM,1369,68,1,
08/02/2024,10:07:00 PM,1433,64,1,
09/02/2024,10:01:00 PM,1508,75,1,
10/02/2024,4:04:00 PM,1565,57,1,
11/02/2024,,1565,0,,
12/02/2024,3:10:00 PM,1636,71,1,
13/02/2024,,1636,0,,
14/02/2024,,1636,0,,
15/02/2024,,1636,0,,
16/02/2024,,1636,0,,
17/02/2024,,1636,0,,
18/02/2024,,1636,0,,
19/02/2024,,1636,0,,
20/02/2024,,1636,0,,
21/02/2024,,1636,0,,
22/02/2024,,1636,0,,
23/02/2024,,1636,0,,
24/02/2024,,1636,0,,
25/02/2024,,1636,0,,
26/02/2024,12:08:00 PM,1663,27,1,
,4:16:00 PM,1705,42,1,
,10:09:00 PM,1744,39,1,
27/02/2024,3:45:00 PM,1792,48,1,
,8:23:00 PM,1839,47,1,
28/02/2024,1:28:00 PM,1879,40,1,
,6:56:00 PM,1932,53,1,
29/02/2024,10:00:00 AM,1975,43,1,
,3:05:00 PM,2022,47,1,
,6:15:00 PM,2077,55,1,
01/03/2024,8:40 AM,2122,45,1,
,4:10:00 PM,2196,74,1,
,8:14:00 PM,2234,38,1,
02/03/2024,10:04:00 PM,2272,38,1,
,2:38:00 PM,2311,39,1,
,7:27:00 PM,2355,44,1,
03/03/2024,8:51:00 AM,2402,47,1,
,2:17:00 PM,2455,53,1,
,7:13:00 PM,2493,38,1,
04/03/2024,10:46:00 PM,2559,66,1,
,3:03:00 PM,2593,34,1,
,7:03:00 PM,2628,35,1,
05/03/2024,12:30:00 PM,2651,23,1,
,5:48:00 PM,2700,49,1,
06/03/2024,10:56 AM,2754,54,1,
,5:48:00 PM,2814,60,1,
07/03/2024,10:47:00 AM,2863,49,1,
,4:08:00 PM,2906,43,1,
,7:59:00 PM,2956,50,1,
08/03/2024,5:58:00 PM,2999,43,1,
09/03/2024,2:18:00 PM,3049,50,1,
,6:34:00 PM,3088,39,1,
,9:20:00 PM,3130,42,1,
10/03/2024,12:26:00 PM,3172,42,1,
,3:58:00 PM,3214,42,1,
,10:00:00 PM,3262,48,1,
11/03/2024,1:34:00 PM,3311,49,1,
,5:08:00 PM,3344,33,1,
,9:08:00 PM,3386,42,1,
12/03/2024,11:12:00 AM,3426,40,1,
,3:36:00 PM,3460,34,1,
,6:31:00 PM,3488,28,1,
,9:35:00 PM,3523,35,1,
13/03/2024,11:54:00 AM,3573,50,1,
,2:35:00 PM,3595,22,1,
,7:07:00 PM,3629,34,1,
,10:10:00 PM,3669,40,1,
14/03/2024,12:07:00 PM,3719,50,1,
,3:51:00 PM,3758,39,1,
,8:00:00 PM,3793,35,1,
15/03/2024,,3793,0,,
16/03/2024,10:08:00 AM,3823,30,1,
,3:38:00 PM,3861,38,1,
,7:50:00 PM,3906,45,1,
17/03/2024,12:44:00 PM,3941,35,1,
,4:13:00 PM,3977,36,1,
18/03/2024,,3977,0,,
19/03/2024,,3977,0,,
20/03/2024,2:26:00 PM,4026,49,1,
,6:40:00 PM,4063,37,1,
21/03/2024,,4063,0,,
22/03/2024,10:29:00 AM,4109,46,1,
23/03/2024,,4109,0,,
24/03/2024,12:33:00 PM,4160,51,1,
,3:38:00 PM,4190,30,1,
,7:35:00 PM,4238,48,1,
25/03/2024,10:30:00 AM,4273,35,1,
,3:34:00 PM,4321,48,1,
,9:52:00 PM,4378,57,1,
26/03/2024,4:50:00 PM,4429,51,1,
,7:51:00 PM,4441,12,1,
27/03/2024,,4441,0,,
28/03/2024,7:43:00 PM,4525,84,1,
29/03/2024,4:32:00 PM,4591,66,1,
,10:02:00 PM,4644,53,1,
30/03/2024,1:42:00 PM,4690,46,1,
,5:42:00 PM,4742,52,1,
,9:56:00 PM,4797,55,1,
31/03/2024,11:18:00 AM,4844,47,1,
,4:23:00 PM,4898,54,1,
,9:56:00 PM,4956,58,1,
01/04/2024,11:39:00 AM,5011,55,1,
,4:22:00 PM,5060,49,1,
,8:28:00 PM,5103,43,1,
02/04/2024,1:03:00 PM,5166,63,1,
,3:44:00 PM,5201,35,1,
03/04/2024,12:51:00 PM,5301,100,1,
,5:11:00 PM,5342,41,1,
04/04/2024,7:12:00 PM,5382,40,1,
05/04/2024,,5382,0,,
06/04/2024,,5382,0,,
07/04/2024,10:33:00 AM,5459,77,1,1149
08/04/2024,,5459,0,,
09/04/2024,2:30:00 PM,5523,64,1,1227
,9:30:00 PM,5580,57,1,1149
10/04/2024,,5580,0,,
11/04/2024,,5580,0,,
12/04/2024,,5580,0,,
13/04/2024,,5580,0,,
14/04/2024,,5580,0,,
15/04/2024,4:17:00 PM,5669,89,1,1227
16/04/2024,,5669,0,,
17/04/2024,11:47:00 AM,5731,62,1,1343
,7:47:00 PM,5798,67,1,1338
18/04/2024,4:31:00 PM,5867,69,1,1149
